Song, Artist, Album Image Source
"WAP", "Cardi B Feat. Megan Thee Stallion", "https://charts-static.billboard.com/img/2020/08/cardi-b-7bz-wap-kc1-180x180.jpg"
"Dynamite", "BTS", "https://charts-static.billboard.com/img/2020/08/bts-hm9-dynamite-9ep-180x180.jpg"
"Laugh Now Cry Later", "Drake Feat. Lil Durk", "https://charts-static.billboard.com/img/2020/08/drake-04g-laugh-now-cry-later-lo5-180x180.jpg"
"Rockstar", "DaBaby Feat. Roddy Ricch", "https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg"
"Blinding Lights", "The Weeknd", "https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg"
"Mood", "24kGoldn Feat. iann dior", "https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg"
"Watermelon Sugar", "Harry Styles", "https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-nys-180x180.jpg"
"Whats Poppin", "Jack Harlow Feat. DaBaby, Tory Lanez & Lil Wayne", "https://charts-static.billboard.com/img/2020/02/jackharlow-i43-whatspoppin-fly-180x180.jpg"
"Savage Love (Laxed - Siren Beat)", "Jawsh 685 x Jason Derulo", "https://charts-static.billboard.com/img/2020/06/jawsh-685-000-savage-love-laxed-siren-beat-8a2-180x180.jpg"
"Popstar", "DJ Khaled Feat. Drake", "https://charts-static.billboard.com/img/2020/07/dj-khaled-2l5-popstar-t9f-180x180.jpg"
"Before You Go", "Lewis Capaldi", "https://charts-static.billboard.com/img/2019/12/lewis-capaldi-j7n-beforeyougo-iag-180x180.jpg"
"I Hope", "Gabby Barrett Feat. Charlie Puth", "https://charts-static.billboard.com/img/2019/03/gabby-barrett-ait-i-hope-mnv-180x180.jpg"
"Roses", "SAINt JHN", "https://charts-static.billboard.com/img/2019/10/saint-jhn-y2f-roses-0g4-180x180.jpg"
"Go Crazy", "Chris Brown & Young Thug", "https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg"
"For The Night", "Pop Smoke Feat. Lil Baby & DaBaby", "https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg"
"Circles", "Post Malone", "https://charts-static.billboard.com/img/2019/09/post-malone-8b5-circles-sb0-180x180.jpg"
"Break My Heart", "Dua Lipa", "https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-break-my-heart-641-180x180.jpg"
"Adore You", "Harry Styles", "https://charts-static.billboard.com/img/2017/04/harry-styles-6jk-180x180.jpg"
"Come & Go", "Juice WRLD x Marshmello", "https://charts-static.billboard.com/img/2020/07/juice-wrld-as8-come-and-go-smi-180x180.jpg"
"Tap In", "Saweetie", "https://charts-static.billboard.com/img/2020/07/saweetie-plv-tap-in-wd0-180x180.jpg"
"Mood Swings", "Pop Smoke Feat. Lil Tjay", "https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg"
"One Of Them Girls", "Lee Brice", "https://charts-static.billboard.com/img/2020/04/lee-brice-vvw-one-of-them-girls-cjs-180x180.jpg"
"Lovin' On You", "Luke Combs", "https://charts-static.billboard.com/img/2019/06/luke-combs-9dm-lovin-on-you-k5v-180x180.jpg"
"Be Like That", "Kane Brown With Swae Lee & Khalid", "https://charts-static.billboard.com/img/2020/07/kane-brown-dqa-belikethat-xpg-180x180.jpg"
"Don't Start Now", "Dua Lipa", "https://charts-static.billboard.com/img/2019/11/dua-lipa-eqf-dont-start-now-q9p-180x180.jpg"
